"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-29"
"TIME","10:13:26"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.150","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","G[S]","B[S]"
"1","5.0000E+03","1.198469E-06","76.18422E-06"
"2","5.0358E+03","1.207293E-06","76.73013E-06"
"3","5.0718E+03","1.211824E-06","77.27033E-06"
"4","5.1081E+03","1.227407E-06","77.82028E-06"
"5","5.1446E+03","1.231493E-06","78.37108E-06"
"6","5.1815E+03","1.240165E-06","78.92876E-06"
"7","5.2185E+03","1.253871E-06","79.49191E-06"
"8","5.2559E+03","1.255896E-06","80.05150E-06"
"9","5.2935E+03","1.270131E-06","80.62591E-06"
"10","5.3314E+03","1.275235E-06","81.19277E-06"
"11","5.3695E+03","1.284610E-06","81.76857E-06"
"12","5.4079E+03","1.293461E-06","82.35179E-06"
"13","5.4466E+03","1.308962E-06","82.93219E-06"
"14","5.4856E+03","1.318025E-06","83.51866E-06"
"15","5.5248E+03","1.323466E-06","84.11863E-06"
"16","5.5644E+03","1.331106E-06","84.71098E-06"
"17","5.6042E+03","1.339154E-06","85.30879E-06"
"18","5.6443E+03","1.362574E-06","85.92418E-06"
"19","5.6847E+03","1.362034E-06","86.52910E-06"
"20","5.7253E+03","1.373298E-06","87.15196E-06"
"21","5.7663E+03","1.380709E-06","87.76294E-06"
"22","5.8076E+03","1.399933E-06","88.38318E-06"
"23","5.8491E+03","1.408027E-06","89.01224E-06"
"24","5.8910E+03","1.410528E-06","89.64799E-06"
"25","5.9331E+03","1.428589E-06","90.28219E-06"
"26","5.9756E+03","1.437664E-06","90.92249E-06"
"27","6.0183E+03","1.435410E-06","91.56476E-06"
"28","6.0614E+03","1.449506E-06","92.22269E-06"
"29","6.1048E+03","1.464698E-06","92.87606E-06"
"30","6.1485E+03","1.477515E-06","93.53046E-06"
"31","6.1924E+03","1.484437E-06","94.19721E-06"
"32","6.2368E+03","1.495994E-06","94.87097E-06"
"33","6.2814E+03","1.516569E-06","95.53953E-06"
"34","6.3263E+03","1.520091E-06","96.21726E-06"
"35","6.3716E+03","1.526816E-06","96.90979E-06"
"36","6.4172E+03","1.538726E-06","97.57962E-06"
"37","6.4631E+03","1.557197E-06","98.29132E-06"
"38","6.5093E+03","1.562054E-06","98.98576E-06"
"39","6.5559E+03","1.566849E-06","99.68756E-06"
"40","6.6028E+03","1.589621E-06","100.4024E-06"
"41","6.6501E+03","1.594785E-06","101.1080E-06"
"42","6.6977E+03","1.606475E-06","101.8329E-06"
"43","6.7456E+03","1.616957E-06","102.5543E-06"
"44","6.7938E+03","1.635749E-06","103.2915E-06"
"45","6.8425E+03","1.641964E-06","104.0163E-06"
"46","6.8914E+03","1.655879E-06","104.7570E-06"
"47","6.9407E+03","1.668800E-06","105.5043E-06"
"48","6.9904E+03","1.683376E-06","106.2574E-06"
"49","7.0404E+03","1.684868E-06","106.9960E-06"
"50","7.0908E+03","1.696971E-06","107.7746E-06"
"51","7.1415E+03","1.715432E-06","108.5371E-06"
"52","7.1926E+03","1.727253E-06","109.3107E-06"
"53","7.2441E+03","1.740309E-06","110.0873E-06"
"54","7.2959E+03","1.756235E-06","110.8755E-06"
"55","7.3481E+03","1.767576E-06","111.6610E-06"
"56","7.4007E+03","1.781138E-06","112.4377E-06"
"57","7.4536E+03","1.790571E-06","113.2497E-06"
"58","7.5070E+03","1.808004E-06","114.0565E-06"
"59","7.5607E+03","1.817028E-06","114.8611E-06"
"60","7.6148E+03","1.828332E-06","115.6832E-06"
"61","7.6693E+03","1.848036E-06","116.5076E-06"
"62","7.7241E+03","1.863575E-06","117.3341E-06"
"63","7.7794E+03","1.874960E-06","118.1683E-06"
"64","7.8351E+03","1.890603E-06","119.0117E-06"
"65","7.8911E+03","1.903184E-06","119.8655E-06"
"66","7.9476E+03","1.908814E-06","120.7151E-06"
"67","8.0045E+03","1.925438E-06","121.5652E-06"
"68","8.0617E+03","1.938672E-06","122.4389E-06"
"69","8.1194E+03","1.946835E-06","123.3063E-06"
"70","8.1775E+03","1.970023E-06","124.1778E-06"
"71","8.2360E+03","1.973605E-06","125.0383E-06"
"72","8.2950E+03","2.000189E-06","125.9465E-06"
"73","8.3543E+03","2.020771E-06","126.8350E-06"
"74","8.4141E+03","2.050324E-06","127.7496E-06"
"75","8.4743E+03","2.044459E-06","128.6413E-06"
"76","8.5349E+03","2.070148E-06","129.5692E-06"
"77","8.5960E+03","2.072328E-06","130.4849E-06"
"78","8.6575E+03","2.091668E-06","131.4126E-06"
"79","8.7195E+03","2.101258E-06","132.3427E-06"
"80","8.7818E+03","2.111044E-06","133.2826E-06"
"81","8.8447E+03","2.128438E-06","134.2556E-06"
"82","8.9080E+03","2.167630E-06","135.2059E-06"
"83","8.9717E+03","2.175745E-06","136.1701E-06"
"84","9.0359E+03","2.200026E-06","137.1356E-06"
"85","9.1006E+03","2.222652E-06","138.1077E-06"
"86","9.1657E+03","2.207857E-06","139.0931E-06"
"87","9.2313E+03","2.248285E-06","140.1003E-06"
"88","9.2973E+03","2.245492E-06","141.0584E-06"
"89","9.3638E+03","2.274116E-06","142.0920E-06"
"90","9.4308E+03","2.296713E-06","143.1008E-06"
"91","9.4983E+03","2.304713E-06","144.1351E-06"
"92","9.5663E+03","2.330553E-06","145.1483E-06"
"93","9.6347E+03","2.353265E-06","146.1853E-06"
"94","9.7037E+03","2.354707E-06","147.2353E-06"
"95","9.7731E+03","2.394910E-06","148.2842E-06"
"96","9.8430E+03","2.402368E-06","149.3214E-06"
"97","9.9134E+03","2.418128E-06","150.4074E-06"
"98","9.9844E+03","2.430834E-06","151.4719E-06"
"99","10.056E+03","2.448892E-06","152.5236E-06"
"100","10.128E+03","2.456456E-06","153.6368E-06"
"101","10.200E+03","2.472039E-06","154.7351E-06"
"102","10.273E+03","2.508584E-06","155.8182E-06"
"103","10.347E+03","2.520486E-06","156.9669E-06"
"104","10.421E+03","2.573487E-06","158.0209E-06"
"105","10.495E+03","2.581662E-06","159.1908E-06"
"106","10.570E+03","2.576265E-06","160.3049E-06"
"107","10.646E+03","2.647981E-06","161.4449E-06"
"108","10.722E+03","2.618917E-06","162.5865E-06"
"109","10.799E+03","2.645547E-06","163.7877E-06"
"110","10.876E+03","2.634023E-06","164.9443E-06"
"111","10.954E+03","2.671217E-06","166.1052E-06"
