"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-27"
"TIME","18:43:01"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.100","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Y[S]","B[S]"
"1","100.00E+00","2.514468E-03","767.8116E-06"
"2","6.3577E+03","3.738908E-03","390.7366E-06"
"3","12.615E+03","3.848305E-03","413.7545E-06"
"4","18.873E+03","3.901212E-03","473.8160E-06"
"5","25.131E+03","3.938645E-03","551.0327E-06"
"6","31.388E+03","3.969991E-03","638.3732E-06"
"7","37.646E+03","4.001264E-03","735.5705E-06"
"8","43.904E+03","4.034315E-03","842.6831E-06"
"9","50.162E+03","4.072937E-03","962.1277E-06"
"10","56.419E+03","4.116888E-03","1.098865E-03"
"11","62.677E+03","4.174664E-03","1.260697E-03"
"12","68.935E+03","4.258544E-03","1.463176E-03"
"13","75.192E+03","4.414186E-03","1.753155E-03"
"14","81.450E+03","4.619088E-03","2.129307E-03"
"15","87.708E+03","5.120781E-03","2.864610E-03"
"16","93.965E+03","7.428192E-03","5.152741E-03"
"17","100.22E+03","18.29573E-03","-9.638352E-03"
"18","106.48E+03","4.857686E-03","-1.764133E-03"
"19","112.74E+03","4.238690E-03","-307.6258E-06"
"20","119.00E+03","4.118749E-03","120.0956E-06"
"21","125.25E+03","4.078671E-03","455.8272E-06"
"22","131.51E+03","4.084588E-03","708.4869E-06"
"23","137.77E+03","4.118527E-03","893.3143E-06"
"24","144.03E+03","4.174556E-03","1.060432E-03"
"25","150.28E+03","4.194913E-03","1.182010E-03"
"26","156.54E+03","4.236895E-03","1.315733E-03"
"27","162.80E+03","4.323651E-03","1.445170E-03"
"28","169.06E+03","4.316957E-03","1.527979E-03"
"29","175.32E+03","4.363790E-03","1.649687E-03"
"30","181.57E+03","4.418999E-03","1.761069E-03"
"31","187.83E+03","4.464632E-03","1.862992E-03"
"32","194.09E+03","4.517052E-03","1.983492E-03"
"33","200.35E+03","4.588658E-03","2.112108E-03"
"34","206.60E+03","4.703416E-03","2.243199E-03"
"35","212.86E+03","4.751305E-03","2.316192E-03"
"36","219.12E+03","4.832317E-03","2.491774E-03"
"37","225.38E+03","4.984912E-03","2.671707E-03"
"38","231.63E+03","5.173014E-03","2.888031E-03"
"39","237.89E+03","5.569752E-03","3.232157E-03"
"40","244.15E+03","6.254655E-03","3.489628E-03"
"41","250.41E+03","6.756342E-03","2.705118E-03"
"42","256.67E+03","5.866278E-03","1.582744E-03"
"43","262.92E+03","5.121802E-03","1.570715E-03"
"44","269.18E+03","4.795530E-03","1.806768E-03"
"45","275.44E+03","4.764320E-03","2.094750E-03"
"46","281.70E+03","4.842580E-03","2.321097E-03"
"47","287.95E+03","4.881989E-03","2.442058E-03"
"48","294.21E+03","4.931805E-03","2.587501E-03"
"49","300.47E+03","4.984297E-03","2.712607E-03"
"50","306.73E+03","5.053952E-03","2.857621E-03"
"51","312.98E+03","5.147871E-03","2.990489E-03"
"52","319.24E+03","5.254128E-03","3.101621E-03"
"53","325.50E+03","5.280934E-03","3.150045E-03"
"54","331.76E+03","5.347105E-03","3.281138E-03"
"55","338.02E+03","5.450875E-03","3.420804E-03"
"56","344.27E+03","5.550920E-03","3.529454E-03"
"57","350.53E+03","5.637167E-03","3.659525E-03"
"58","356.79E+03","5.827212E-03","3.838009E-03"
"59","363.05E+03","5.980974E-03","3.953146E-03"
"60","369.30E+03","6.253708E-03","4.130828E-03"
"61","375.56E+03","6.458381E-03","4.063132E-03"
"62","381.82E+03","6.376188E-03","3.841442E-03"
"63","388.08E+03","6.338097E-03","3.689063E-03"
"64","394.33E+03","6.080875E-03","3.393051E-03"
"65","400.59E+03","5.778075E-03","3.413494E-03"
"66","406.85E+03","5.770243E-03","3.593217E-03"
"67","413.11E+03","5.846219E-03","3.785202E-03"
"68","419.37E+03","5.928794E-03","3.928486E-03"
"69","425.62E+03","6.009844E-03","4.035186E-03"
"70","431.88E+03","6.080881E-03","4.160432E-03"
"71","438.14E+03","6.188301E-03","4.296309E-03"
"72","444.40E+03","6.336537E-03","4.450949E-03"
"73","450.65E+03","6.488361E-03","4.545744E-03"
"74","456.91E+03","6.557000E-03","4.558144E-03"
"75","463.17E+03","6.593174E-03","4.565441E-03"
"76","469.43E+03","6.589188E-03","4.556246E-03"
"77","475.68E+03","6.580065E-03","4.582508E-03"
"78","481.94E+03","6.630535E-03","4.664569E-03"
"79","488.20E+03","6.675228E-03","4.740810E-03"
"80","494.46E+03","6.738879E-03","4.803790E-03"
